"harvest 
rate","dispersal
time",land-scape,patch,gen,date,"total 
count","total 
w50","total 
weight","harvest 
count","harvest 
weight",leftover count or weight,pupae,larvae,dead adults
0.25,6,2,1,2,24-Apr,NA,0.1272,0.4159,0,0.1039,0.3117,0,0,0
0.25,6,2,2,2,24-Apr,19,0,0.0563,5,0,14,0,0,0
0.25,6,2,3,2,24-Apr,1,0,0.0026,1,0,0,0,0,0
0.25,6,2,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0.25,6,2,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0.25,6,2,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,6,1,1,2,24-Apr,NA,0.1234,0.3945,0,0.1973,0.1972,0,0,0
0.5,6,1,2,2,24-Apr,2,0,0.0089,1,0,1,0,0,0
0.5,6,1,3,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,6,1,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,6,1,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,6,1,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,6,2,1,2,24-Apr,NA,0.1303,0.3561,0,0.1781,0.178,0,0,0
0.5,6,2,2,2,24-Apr,11,0,0.0288,6,0,5,0,0,0
0.5,6,2,3,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,6,2,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,6,2,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,6,2,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,6,1,1,2,24-Apr,53,0.1318,0.1411,40,0,13,0,0,0
0.75,6,1,2,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,6,1,3,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,6,1,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,6,1,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,6,1,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,6,2,1,2,24-Apr,62,0.1313,0.1695,47,0,15,0,0,0
0.75,6,2,2,2,24-Apr,2,0,0.0057,2,0,0,0,0,0
0.75,6,2,3,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,6,2,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,6,2,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,6,2,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0,24,1,1,2,24-Apr,NA,0.1155,0.4432,0,0,0.4432,0,0,0
0,24,1,2,2,24-Apr,13,0,0.0327,0,0,13,0,0,0
0,24,1,3,2,24-Apr,0,0,0,0,0,0,0,0,0
0,24,1,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0,24,1,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0,24,1,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0,24,2,1,2,24-Apr,NA,0.1234,0.4298,0,0,0.4298,0,0,0
0,24,2,2,2,24-Apr,11,0,0.0301,0,0,11,0,0,0
0,24,2,3,2,24-Apr,3,0,0.0088,0,0,3,0,0,0
0,24,2,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0,24,2,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0,24,2,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0.25,24,1,1,2,24-Apr,NA,0.1249,0.4481,0,0.112,0.3361,0,1,0
0.25,24,1,2,2,24-Apr,31,0,0.083,8,0,23,0,0,0
0.25,24,1,3,2,24-Apr,4,0,0.011,1,0,3,0,1,0
0.25,24,1,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0.25,24,1,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0.25,24,1,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0.25,24,2,1,2,24-Apr,NA,0.1259,0.2178,0,0.0545,0.1633,0,0,0
0.25,24,2,2,2,24-Apr,45,0,0.113,12,0,33,0,0,0
0.25,24,2,3,2,24-Apr,15,0,0.04,4,0,11,0,0,0
0.25,24,2,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0.25,24,2,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0.25,24,2,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,24,1,1,2,24-Apr,NA,0.1229,0.2793,0,0.1397,0.1196,0,0,0
0.5,24,1,2,2,24-Apr,23,0,0.0632,12,0,11,0,0,0
0.5,24,1,3,2,24-Apr,2,0,0.006,1,0,1,0,0,0
0.5,24,1,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,24,1,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,24,1,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,24,2,1,2,24-Apr,60,0.1298,0.1548,30,0,30,0,1,0
0.5,24,2,2,2,24-Apr,NA,0.121,0.2294,0,0.1147,0.1147,0,0,0
0.5,24,2,3,2,24-Apr,1,0,0.0031,1,0,0,0,0,0
0.5,24,2,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,24,2,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,24,2,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,24,1,1,2,24-Apr,NA,0.1309,0.2051,0,0.1538,0.0513,0,0,1
0.75,24,1,2,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,24,1,3,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,24,1,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,24,1,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,24,1,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,24,2,1,2,24-Apr,62,0.1393,0.1708,47,0,15,0,0,0
0.75,24,2,2,2,24-Apr,24,0,0.0664,18,0,6,0,4,1
0.75,24,2,3,2,24-Apr,1,0,0.0038,1,0,0,0,0,0
0.75,24,2,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,24,2,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,24,2,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0,1,3,1,2,1-May,NA,0.1202,0.7257,0,0,0.7257,0,1,1
0,1,3,2,2,1-May,4,0,0.0094,0,0,4,0,0,0
0,1,3,3,2,1-May,0,0,0,0,0,0,0,0,0
0,1,3,4,2,1-May,0,0,0,0,0,0,0,0,0
0,1,3,5,2,1-May,0,0,0,0,0,0,0,0,0
0,1,3,6,2,1-May,0,0,0,0,0,0,0,0,0
0,1,4,1,2,1-May,NA,0.1264,0.04338,0,0,0.4338,0,0,0
0,1,4,2,2,1-May,0,0,0,0,0,0,0,0,0
0,1,4,3,2,1-May,0,0,0,0,0,0,0,0,0
0,1,4,4,2,1-May,0,0,0,0,0,0,0,0,0
0,1,4,5,2,1-May,0,0,0,0,0,0,0,0,0
0,1,4,6,2,1-May,0,0,0,0,0,0,0,0,0
0.25,1,3,1,2,1-May,NA,0.1236,0.5492,0,0.1373,0.4119,0,0,0
0.25,1,3,2,2,1-May,1,0,0.0021,1,0,0,0,0,0
0.25,1,3,3,2,1-May,0,0,0,0,0,0,0,0,0
0.25,1,3,4,2,1-May,0,0,0,0,0,0,0,0,0
0.25,1,3,5,2,1-May,0,0,0,0,0,0,0,0,0
0.25,1,3,6,2,1-May,0,0,0,0,0,0,0,0,0
0.25,1,4,1,2,1-May,NA,0.124,0.4929,0,0.1232,0.3696,0,0,0
0.25,1,4,2,2,1-May,0,0,0,0,0,0,0,0,0
0.25,1,4,3,2,1-May,0,0,0,0,0,0,0,0,0
0.25,1,4,4,2,1-May,0,0,0,0,0,0,0,0,0
0.25,1,4,5,2,1-May,0,0,0,0,0,0,0,0,0
0.25,1,4,6,2,1-May,0,0,0,0,0,0,0,0,0
0.5,1,3,1,2,1-May,NA,0.1197,0.2769,0,0.1385,0.1385,0,0,0
0.5,1,3,2,2,1-May,4,0,0.0078,2,0,2,0,0,0
0.5,1,3,3,2,1-May,0,0,0,0,0,0,0,0,0
0.5,1,3,4,2,1-May,0,0,0,0,0,0,0,0,0
0.5,1,3,5,2,1-May,0,0,0,0,0,0,0,0,0
0.5,1,3,6,2,1-May,0,0,0,0,0,0,0,0,0
0.5,1,4,1,2,1-May,NA,0.1228,0.3792,0,0.1896,0.1896,0,1,1
0.5,1,4,2,2,1-May,1,0,0.0036,1,0,0,0,0,0
0.5,1,4,3,2,1-May,0,0,0,0,0,0,0,0,0
0.5,1,4,4,2,1-May,0,0,0,0,0,0,0,0,0
0.5,1,4,5,2,1-May,0,0,0,0,0,0,0,0,0
0.5,1,4,6,2,1-May,0,0,0,0,0,0,0,0,0
0.75,1,3,1,2,1-May,NA,0.1277,0.2975,0,0.2231,0.0744,0,0,0
0.75,1,3,2,2,1-May,0,0,0,0,0,0,0,0,0
0.75,1,3,3,2,1-May,0,0,0,0,0,0,0,0,0
0.75,1,3,4,2,1-May,0,0,0,0,0,0,0,0,0
0.75,1,3,5,2,1-May,0,0,0,0,0,0,0,0,0
0.75,1,3,6,2,1-May,0,0,0,0,0,0,0,0,0
0.75,1,4,1,2,1-May,NA,0.1271,0.2271,0,0.1703,0.0568,0,0,2
0.75,1,4,2,2,1-May,1,0,0.004,1,0,0,0,0,0
0.75,1,4,3,2,1-May,0,0,0,0,0,0,0,0,0
0.75,1,4,4,2,1-May,0,0,0,0,0,0,0,0,0
0.75,1,4,5,2,1-May,0,0,0,0,0,0,0,0,0
0.75,1,4,6,2,1-May,0,0,0,0,0,0,0,0,0
0,6,3,1,2,1-May,NA,0.1231,0.4851,0,0,0.04851,0,0,2
0,6,3,2,2,1-May,39,0,0.1342,0,0,39,0,0,0
0,6,3,3,2,1-May,1,0,0.0071,0,0,1,0,0,0
0,6,3,4,2,1-May,0,0,0,0,0,0,0,0,0
0,6,3,5,2,1-May,0,0,0,0,0,0,0,0,0
0,6,3,6,2,1-May,0,0,0,0,0,0,0,0,0
0,6,4,1,2,1-May,NA,0.1249,0.5268,0,0,0.5268,1,0,1
0,6,4,2,2,1-May,17,0,0.0762,0,0,17,0,0,0
0,6,4,3,2,1-May,0,0,0,0,0,0,0,0,0
0,6,4,4,2,1-May,0,0,0,0,0,0,0,0,0
0,6,4,5,2,1-May,0,0,0,0,0,0,0,0,0
0,6,4,6,2,1-May,0,0,0,0,0,0,0,0,0
0.25,6,3,1,2,1-May,NA,0.1269,0.6129,0,0.1532,0.4597,0,0,0
0.25,6,3,2,2,1-May,17,0,0.0418,4,0,13,0,0,0
0.25,6,3,3,2,1-May,1,0,0.0035,0,0,1,0,0,0
0.25,6,3,4,2,1-May,0,0,0,0,0,0,0,0,0
0.25,6,3,5,2,1-May,0,0,0,0,0,0,0,0,0
0.25,6,3,6,2,1-May,0,0,0,0,0,0,0,0,0
0.25,6,4,1,2,1-May,NA,0.1265,0.5315,0,0.1329,0.3986,0,1,0
0.25,6,4,2,2,1-May,1,0,0.003,1,0,0,0,1,0
0.25,6,4,3,2,1-May,0,0,0,0,0,0,0,0,0
0.25,6,4,4,2,1-May,0,0,0,0,0,0,0,0,0
0.25,6,4,5,2,1-May,0,0,0,0,0,0,0,0,0
0.25,6,4,6,2,1-May,0,0,0,0,0,0,0,0,0
0.5,6,3,1,2,1-May,NA,0.1225,0.0503,0,0.1252,0.1251,1,0,0
0.5,6,3,2,2,1-May,3,0,0.0079,2,0,1,0,0,0
0.5,6,3,3,2,1-May,0,0,0,0,0,0,0,0,0
0.5,6,3,4,2,1-May,0,0,0,0,0,0,0,0,0
0.5,6,3,5,2,1-May,0,0,0,0,0,0,0,0,0
0.5,6,3,6,2,1-May,0,0,0,0,0,0,0,0,0
0.5,6,4,1,2,1-May,NA,0.1216,0.5003,0,0.2502,0.2501,0,0,0
0.5,6,4,2,2,1-May,1,0,0.003,1,0,0,0,0,0
0.5,6,4,3,2,1-May,0,0,0,0,0,0,0,0,0
0.5,6,4,4,2,1-May,0,0,0,0,0,0,0,0,0
0.5,6,4,5,2,1-May,0,0,0,0,0,0,0,0,0
0.5,6,4,6,2,1-May,0,0,0,0,0,0,0,0,0
0.75,6,3,1,2,1-May,NA,0.1277,0.1961,0,0.1471,0.049,0,0,0
0.75,6,3,2,2,1-May,2,0,0.0052,2,0,0,0,0,0
0.75,6,3,3,2,1-May,0,0,0,0,0,0,0,0,0
0.75,6,3,4,2,1-May,0,0,0,0,0,0,0,0,0
0.75,6,3,5,2,1-May,0,0,0,0,0,0,0,0,0
0.75,6,3,6,2,1-May,0,0,0,0,0,0,0,0,0
0.75,6,4,1,2,1-May,NA,0.116,0.2183,0,0.1637,0.0546,0,0,0
0.75,6,4,2,2,1-May,3,0,0.0078,3,0,0,0,0,0
0.75,6,4,3,2,1-May,1,0,0.0029,1,0,0,0,0,0
0.75,6,4,4,2,1-May,0,0,0,0,0,0,0,0,0
0.75,6,4,5,2,1-May,0,0,0,0,0,0,0,0,0
0.75,6,4,6,2,1-May,0,0,0,0,0,0,0,0,0
0,24,3,1,2,1-May,NA,0.1235,0.2672,0,0,0.2672,0,0,0
0,24,3,2,2,1-May,NA,0.1303,0.4132,0,0,0.4132,0,1,0
0,24,3,3,2,1-May,20,0,0.0531,0,0,20,0,0,0
0,24,3,4,2,1-May,1,0,0.0032,0,0,1,0,0,1
0,24,3,5,2,1-May,0,0,0,0,0,0,0,0,0
0,24,3,6,2,1-May,0,0,0,0,0,0,0,0,0
0,24,4,1,2,1-May,NA,0.1229,0.4838,0,0,0.4838,0,1,0
0,24,4,2,2,1-May,NA,0.1241,0.266,0,0,0.266,0,0,0
0,24,4,3,2,1-May,6,0,0.0163,0,0,6,0,0,0
0,24,4,4,2,1-May,0,0,0,0,0,0,0,0,0
0,24,4,5,2,1-May,0,0,0,0,0,0,0,0,0
0,24,4,6,2,1-May,0,0,0,0,0,0,0,0,0
0.25,24,3,1,2,1-May,NA,0.1303,0.349,0,0.0873,0.2617,0,0,0
0.25,24,3,2,2,1-May,32,0,0.0632,8,0,24,0,0,0
0.25,24,3,3,2,1-May,0,0,0,0,0,0,0,0,0
0.25,24,3,4,2,1-May,0,0,0,0,0,0,0,0,0
0.25,24,3,5,2,1-May,0,0,0,0,0,0,0,0,0
0.25,24,3,6,2,1-May,0,0,0,0,0,0,0,0,0
0.25,24,4,1,2,1-May,NA,0.1243,0.2162,0,0.0541,0.1621,0,0,0
0.25,24,4,2,2,1-May,68,0.1264,0.2074,17,0,51,0,0,0
0.25,24,4,3,2,1-May,2,0,0.006,1,0,1,0,0,0
0.25,24,4,4,2,1-May,0,0,0,0,0,0,0,0,0
0.25,24,4,5,2,1-May,0,0,0,0,0,0,0,0,0
0.25,24,4,6,2,1-May,0,0,0,0,0,0,0,0,0
0.5,24,3,1,2,1-May,NA,0.1351,0.2739,0,0.137,0.1369,0,0,0
0.5,24,3,2,2,1-May,34,0,0.0874,17,0,17,0,0,1
0.5,24,3,3,2,1-May,3,0,0.0074,2,0,1,0,1,0
0.5,24,3,4,2,1-May,0,0,0,0,0,0,0,0,0
0.5,24,3,5,2,1-May,0,0,0,0,0,0,0,0,0
0.5,24,3,6,2,1-May,0,0,0,0,0,0,0,0,0
0.5,24,4,1,2,1-May,NA,0.1257,0.3825,0,0.1913,0.1912,0,0,1
0.5,24,4,2,2,1-May,43,,0.1165,22,0,21,0,0,
0.5,24,4,3,2,1-May,0,0,0,0,0,0,0,0,0
0.5,24,4,4,2,1-May,0,0,0,0,0,0,0,0,0
0.5,24,4,5,2,1-May,0,0,0,0,0,0,0,0,0
0.5,24,4,6,2,1-May,0,0,0,0,0,0,0,0,0
0.75,24,3,1,2,1-May,64,0.1334,0.1766,48,0,16,0,0,1
0.75,24,3,2,2,1-May,19,0,0.0503,14,0,5,0,0,0
0.75,24,3,3,2,1-May,1,0,0.003,1,0,0,0,0,0
0.75,24,3,4,2,1-May,0,0,0,0,0,0,0,0,0
0.75,24,3,5,2,1-May,0,0,0,0,0,0,0,0,0
0.75,24,3,6,2,1-May,0,0,0,0,0,0,0,0,0
0.75,24,4,1,2,1-May,60,0.1438,0.1857,45,0,15,0,1,0
0.75,24,4,2,2,1-May,10,0,0.0285,8,0,2,0,0,0
0.75,24,4,3,2,1-May,0,0,0,0,0,0,0,0,0
0.75,24,4,4,2,1-May,0,0,0,0,0,0,0,0,0
0.75,24,4,5,2,1-May,0,0,0,0,0,0,0,0,0
0.75,24,4,6,2,1-May,0,0,0,0,0,0,0,0,0
0,1,5,1,2,8-May,NA,0.1271,0.2993,0,0,0.2993,0,0,0
0,1,5,2,2,8-May,1,0,0.0027,0,0,1,0,0,0
0,1,5,3,2,8-May,0,0,0,0,0,0,0,0,0
0,1,5,4,2,8-May,0,0,0,0,0,0,0,0,0
0,1,5,5,2,8-May,0,0,0,0,0,0,0,0,0
0,1,5,6,2,8-May,0,0,0,0,0,0,0,0,0
0,1,6,1,2,8-May,NA,0.1278,0.5211,0,0,0.5211,0,1,0
0,1,6,2,2,8-May,1,0,0.0035,0,0,1,0,0,0
0,1,6,3,2,8-May,0,0,0,0,0,0,0,0,0
0,1,6,4,2,8-May,0,0,0,0,0,0,0,0,0
0,1,6,5,2,8-May,0,0,0,0,0,0,0,0,0
0,1,6,6,2,8-May,0,0,0,0,0,0,0,0,0
0.25,1,5,1,2,8-May,NA,0.1302,0.3106,0,0.07765,0.233,0,1,0
0.25,1,5,2,2,8-May,1,0,0.0031,1,0,0,0,0,0
0.25,1,5,3,2,8-May,0,0,0,0,0,0,0,0,0
0.25,1,5,4,2,8-May,0,0,0,0,0,0,0,0,0
0.25,1,5,5,2,8-May,0,0,0,0,0,0,0,0,0
0.25,1,5,6,2,8-May,0,0,0,0,0,0,0,0,0
0.25,1,6,1,2,8-May,NA,0.123,0.4254,0,0.1064,0.3191,0,0,0
0.25,1,6,2,2,8-May,0,0,0,0,0,0,0,0,0
0.25,1,6,3,2,8-May,0,0,0,0,0,0,0,0,0
0.25,1,6,4,2,8-May,0,0,0,0,0,0,0,0,0
0.25,1,6,5,2,8-May,0,0,0,0,0,0,0,0,0
0.25,1,6,6,2,8-May,0,0,0,0,0,0,0,0,0
0.5,1,5,1,2,8-May,NA,0.1239,0.3363,0,0.1682,0.1682,0,1,0
0.5,1,5,2,2,8-May,0,0,0,0,0,0,0,0,0
0.5,1,5,3,2,8-May,0,0,0,0,0,0,0,0,0
0.5,1,5,4,2,8-May,0,0,0,0,0,0,0,0,0
0.5,1,5,5,2,8-May,0,0,0,0,0,0,0,0,0
0.5,1,5,6,2,8-May,0,0,0,0,0,0,0,0,0
0.5,1,6,1,2,8-May,NA,0.1328,0.3041,0,0.1521,0.1521,0,0,0
0.5,1,6,2,2,8-May,0,0,0,0,0,0,0,0,0
0.5,1,6,3,2,8-May,0,0,0,0,0,0,0,0,0
0.5,1,6,4,2,8-May,0,0,0,0,0,0,0,0,0
0.5,1,6,5,2,8-May,0,0,0,0,0,0,0,0,0
0.5,1,6,6,2,8-May,0,0,0,0,0,0,0,0,0
0.75,1,5,1,2,8-May,25,0,0.0635,18,0,7,0,0,0
0.75,1,5,2,2,8-May,0,0,0,0,0,0,0,0,0
0.75,1,5,3,2,8-May,0,0,0,0,0,0,0,0,0
0.75,1,5,4,2,8-May,0,0,0,0,0,0,0,0,0
0.75,1,5,5,2,8-May,0,0,0,0,0,0,0,0,0
0.75,1,5,6,2,8-May,0,0,0,0,0,0,0,0,0
0.75,1,6,1,2,8-May,60,0.1359,0.163245,45,0,15,0,0,0
0.75,1,6,2,2,8-May,0,0,0,0,0,0,0,0,0
0.75,1,6,3,2,8-May,0,0,0,0,0,0,0,0,0
0.75,1,6,4,2,8-May,0,0,0,0,0,0,0,0,0
0.75,1,6,5,2,8-May,0,0,0,0,0,0,0,0,0
0.75,1,6,6,2,8-May,0,0,0,0,0,0,0,0,0
0,6,5,1,2,8-May,NA,0.1237,0.6236,0,0,0.6236,0,0,1
0,6,5,2,2,8-May,NA,0.1251,0.4092,0,0,0.4092,2,4,0
0,6,5,3,2,8-May,4,0,0.0091,0,0,4,0,1,0
0,6,5,4,2,8-May,1,0,0.0029,0,0,1,0,2,0
0,6,5,5,2,8-May,0,0,0,0,0,0,0,0,0
0,6,5,6,2,8-May,0,0,0,0,0,0,0,0,0
0,6,6,1,2,8-May,NA,0.1283,0.4013,0,0,0.4013,0,1,0
0,6,6,2,2,8-May,1,0,0.003,0,0,1,0,0,0
0,6,6,3,2,8-May,0,0,0,0,0,0,0,0,0
0,6,6,4,2,8-May,0,0,0,0,0,0,0,0,0
0,6,6,5,2,8-May,0,0,0,0,0,0,0,0,0
0,6,6,6,2,8-May,0,0,0,0,0,0,0,0,0
0.25,6,5,1,2,8-May,NA,0.125,0.3171,0,0.0793,0.2378,0,0,0
0.25,6,5,2,2,8-May,5,0,0.0143,1,0,4,0,0,0
0.25,6,5,3,2,8-May,0,0,0,0,0,0,0,0,0
0.25,6,5,4,2,8-May,0,0,0,0,0,0,0,0,0
0.25,6,5,5,2,8-May,0,0,0,0,0,0,0,0,0
0.25,6,5,6,2,8-May,0,0,0,0,0,0,0,0,0
0.25,6,6,1,2,8-May,NA,0.1216,0.3171,0,0.0793,0.2378,0,2,1
0.25,6,6,2,2,8-May,1,,0.0029,1,0,0,0,0,0
0.25,6,6,3,2,8-May,0,0,0,0,0,0,0,0,0
0.25,6,6,4,2,8-May,0,0,0,0,0,0,0,0,0
0.25,6,6,5,2,8-May,0,0,0,0,0,0,0,0,0
0.25,6,6,6,2,8-May,0,0,0,0,0,0,0,0,0
0.5,6,5,1,2,8-May,NA,0.1247,0.2366,0,0.1183,0.1183,0,0,0
0.5,6,5,2,2,8-May,2,0,0.0053,1,0,1,0,0,0
0.5,6,5,3,2,8-May,0,0,0,0,0,0,0,0,0
0.5,6,5,4,2,8-May,0,0,0,0,0,0,0,0,0
0.5,6,5,5,2,8-May,0,0,0,0,0,0,0,0,0
0.5,6,5,6,2,8-May,0,0,0,0,0,0,0,0,0
0.5,6,6,1,2,8-May,NA,0.1273,0.3795,0,0.1898,0.1898,0,0,0
0.5,6,6,2,2,8-May,4,0,0.0114,2,0,2,0,0,0
0.5,6,6,3,2,8-May,2,0,0.0059,1,0,1,0,0,0
0.5,6,6,4,2,8-May,0,0,0,0,0,0,0,0,0
0.5,6,6,5,2,8-May,0,0,0,0,0,0,0,0,0
0.5,6,6,6,2,8-May,0,0,0,0,0,0,0,0,0
0.75,6,5,1,2,8-May,59,0.1301,0.1548,44,0,15,0,0,0
0.75,6,5,2,2,8-May,2,0,0.0053,1,0,1,0,0,0
0.75,6,5,3,2,8-May,0,0,0,0,0,0,0,0,0
0.75,6,5,4,2,8-May,0,0,0,0,0,0,0,0,0
0.75,6,5,5,2,8-May,0,0,0,0,0,0,0,0,0
