"harvest 
rate","dispersal
time",land-scape,patch,gen,date,"total 
count","total 
w50","total 
weight","harvest 
count","harvest 
weight",leftover count or weight,pupae,larvae,dead adults
0,1,1,1,2,24-Apr,NA,0.1244,0.2502,0,0,0.2502,0,1,1
0,1,1,2,2,24-Apr,1,0,0.0042,0,0,1,0,1,0
0,1,1,3,2,24-Apr,0,0,0,0,0,0,0,0,0
0,1,1,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0,1,1,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0,1,1,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0,1,2,1,2,24-Apr,NA,0.1272,0.5797,0,0,0.5797,0,0,0
0,1,2,2,2,24-Apr,1,0,0.0031,0,0,1,0,0,0
0,1,2,3,2,24-Apr,0,0,0,0,0,0,0,0,0
0,1,2,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0,1,2,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0,1,2,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0.25,1,1,1,2,24-Apr,NA,0.1207,0.4078,0,0.102,0.3058,0,0,0
0.25,1,1,2,2,24-Apr,0,0,0,0,0,0,0,0,0
0.25,1,1,3,2,24-Apr,0,0,0,0,0,0,0,0,0
0.25,1,1,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0.25,1,1,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0.25,1,1,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0.25,1,2,1,2,24-Apr,NA,0.1283,0.5077,0,0.1269,0.3808,0,0,0
0.25,1,2,2,2,24-Apr,9,0,0.0295,3,0,6,0,1,1
0.25,1,2,3,2,24-Apr,0,0,0,0,0,0,0,0,0
0.25,1,2,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0.25,1,2,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0.25,1,2,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,1,1,1,2,24-Apr,59,0.1325,0.1595,30,0,29,0,,2
0.5,1,1,2,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,1,1,3,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,1,1,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,1,1,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,1,1,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,1,2,1,2,24-Apr,NA,0.1251,0.244,0,0.122,0.122,0,0,0
0.5,1,2,2,2,24-Apr,4,0,0.0221,2,0,2,0,0,0
0.5,1,2,3,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,1,2,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,1,2,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0.5,1,2,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,1,1,1,2,24-Apr,NA,0.1298,0.2784,0,0.2088,0.0696,0,0,0
0.75,1,1,2,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,1,1,3,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,1,1,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,1,1,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,1,1,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,1,2,1,2,24-Apr,68,0.1393,0.2121,51,0,17,0,0,0
0.75,1,2,2,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,1,2,3,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,1,2,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,1,2,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0.75,1,2,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0,6,1,1,2,24-Apr,NA,0.1249,0.6505,0,0.4879,0.1626,0,1,0
0,6,1,2,2,24-Apr,3,0,0.0086,0,0,3,0,0,0
0,6,1,3,2,24-Apr,0,0,0,0,0,0,0,0,0
0,6,1,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0,6,1,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0,6,1,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0,6,2,1,2,24-Apr,NA,0.1193,0.4371,0,0,0.04371,0,0,0
0,6,2,2,2,24-Apr,4,0,0.0107,0,0,4,0,0,0
0,6,2,3,2,24-Apr,0,0,0,0,0,0,0,0,0
0,6,2,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0,6,2,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0,6,2,6,2,24-Apr,0,0,0,0,0,0,0,0,0
0.25,6,1,1,2,24-Apr,NA,0.1253,0.4441,,0.111,0.3331,0,0,0
0.25,6,1,2,2,24-Apr,22,0,0.0699,6,0,18,0,1,0
0.25,6,1,3,2,24-Apr,0,0,0,0,0,0,0,0,0
0.25,6,1,4,2,24-Apr,0,0,0,0,0,0,0,0,0
0.25,6,1,5,2,24-Apr,0,0,0,0,0,0,0,0,0
0.25,6,1,6,2,24-Apr,0,0,0,0,0,0,0,0,0
